heuristic;points;hyperplane_budget;jaccard_index;time;exceptions
CuttingLargerAngle;8;5;0.895797222159692;55022;false
CuttingLargerAngle2;8;5;0.9010512461751817;100481;false
DistanceFromG;8;5;0.7978412083830448;337820;false
CuttingEdges;8;5;0.9724148991506741;85064;false
LessArea;8;5;0.9421266475683343;922376;false
DistanceFromG2;8;5;0.8241507777502645;306859;false
CuttingSmallerAngle;8;6;0.3722058393174707;38027;false
CuttingSmallerAngle2;8;6;0.4324738659902849;89681;false
CuttingLargerAngle;8;6;0.9229284379713212;46185;false
CuttingLargerAngle2;8;6;0.9307145348365581;54937;false
DistanceFromG;8;6;0.842817909641402;654314;false
CuttingEdges;8;6;0.9880064546565301;73058;false
LessArea;8;6;0.9857694591626963;802006;false
DistanceFromG2;8;6;0.9596380253472301;943466;false
CuttingSmallerAngle;8;7;0.7734900839655133;142826;false
CuttingSmallerAngle2;8;7;0.812571195756519;48476;false
CuttingLargerAngle;8;7;0.990967516826869;78998;false
CuttingLargerAngle2;8;7;0.9926571315556696;51101;false
DistanceFromG;8;7;0.990967516826869;1167237;false
CuttingEdges;8;7;0.9941810184701213;207687;false
LessArea;8;7;0.9915016237414304;929674;false
DistanceFromG2;8;7;0.990967516826869;1743068;false
CuttingSmallerAngle;8;3;0.035793628138458294;83773;false
CuttingSmallerAngle2;8;3;3.0780538171102496E-8;115505;false
CuttingLargerAngle;8;3;0.6660047410422847;76893;false
CuttingLargerAngle2;8;3;0.627382472102883;113430;false
DistanceFromG;8;3;0.2571581050724188;114885;false
CuttingEdges;8;3;0.8177806401863275;183790;false
LessArea;8;3;0.0;1158926;false
DistanceFromG2;8;3;0.6660047410422847;225072;false
CuttingSmallerAngle;8;4;0.09062589204820473;69514;false
CuttingSmallerAngle2;8;4;0.03691506349535115;84725;false
CuttingLargerAngle;8;4;0.8399339729189679;69188;false
CuttingLargerAngle2;8;4;0.8543267368950204;79998;false
DistanceFromG;8;4;0.8399339729189679;142853;false
CuttingEdges;8;4;0.9062693588202148;115723;false
LessArea;8;4;0.7281292623517831;1004786;false
DistanceFromG2;8;4;0.8399339729189679;511965;false
CuttingSmallerAngle;8;5;0.2709716654462413;55830;false
CuttingSmallerAngle2;8;5;0.39689111339263083;68278;false
CuttingLargerAngle;8;5;0.8873692179762451;58997;false
CuttingLargerAngle2;8;5;0.8996767140979204;62446;false
DistanceFromG;8;5;0.9283258659848833;200593;false
CuttingEdges;8;5;0.9612934623927472;90040;false
LessArea;8;5;0.9076322227332588;991743;false
DistanceFromG2;8;5;0.9283258659848833;890777;false
CuttingSmallerAngle;8;6;0.6225617349070615;55214;false
CuttingSmallerAngle2;8;6;0.7687747972779149;72086;false
CuttingLargerAngle;8;6;0.9757611110421606;89012;false
CuttingLargerAngle2;8;6;0.9767350334409152;63773;false
DistanceFromG;8;6;0.9302371762252863;676320;false
CuttingEdges;8;6;0.9931276443385219;90376;false
LessArea;8;6;0.9346667157530131;1418236;false
DistanceFromG2;8;6;0.9757611110421606;1197699;false
CuttingSmallerAngle;8;7;0.879289588323632;54547;false
CuttingSmallerAngle2;8;7;0.9196365485150163;193643;false
CuttingLargerAngle;8;7;0.9980886897595969;37070;false
CuttingLargerAngle2;8;7;0.99714433891273;65070;false
DistanceFromG;8;7;0.9776724212825636;4005396;false
CuttingEdges;8;7;0.9988227724154577;53201;false
LessArea;8;7;0.9411685926893022;1091171;false
DistanceFromG2;8;7;0.9980886897595969;1696660;false
